symbol
NUSD
EUROe
DJED
BEAN
CMST
FUSD
USDI
PAR
IUSD
MIM
USDI
DSU
YUSD
RUSD
FLEXUSD
LUSD
NOTE
d2O
USDT
FPI
USDL
USX
FLOAT
SUSD
DOC
IBEUR
USDS
ANONUSD
PAI
HUSD
NXUSD
BUSD
USDS
PUSD
CEUR
UXD
PINA
USDW
CZUSD
RSV
USTC
MAI
USDP
EURE
HOME
ARUSD
USP
BOB
EURL
FIAT
EURS
VST
UUSD
USDTZ
CASH
TOR
UZD
DAI
USDJ
VOLT
CUSD
PUSD
BAI
USDX
DCHF
DAVOS
USDR
USDC
EUSD
USN
USK
FRAX
DEI
FEI
TUSD
CUSD
USD+
DOLA
USDD
3USD
XAI
USH
HAY
RAI
MUSD
USDH
VAI
MONEY
SIGUSD
AUSD
EURT
STBL
KUSD
USDR
GUSD
USDB
DUSD
ALUSD
USDP
EUROC
BAOUSD
USDK
USDN
AGEUR
SEUR
OUSD
ZUSD
